"Report Generated, 9th July 2025 - 19:40",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS P&L REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajs Limited, Bellam & Co Limited, Dhillon Brothers Limited, Fans (UK) Limited, MDJ Investments Limited, Nij Enterprises Ltd, Popat Leisure Limited, R & D 2 Pizza Limited, R&D Yorkshire Limited, Radas Pizza Ltd, Topbake Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pound,Eliminated accounts removed,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Code,Account Name,May 24,,Jun 24,,Jul 24,,Aug 24,,Sep 24,,Oct 24,,Nov 24,,Dec 24,,Jan 25,,Feb 25,,Mar 25,,Apr 25,,May 25,
,,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,Food - Ice Cream & Drinks,"£ 29,950.24","£ 36,735.12","£ 28,714.93","£ 32,424.46","£ 35,616.35","£ 31,998.60","£ 26,710.69","£ 36,114.72","£ 507,504.42","£ 31,228.83","£ 32,639.83","£ 41,478.75","£ 37,307.31","£ 36,146.42","£ 39,471.33","£ 764,930.59","£ 32,270.29","£ 25,906.22","£ 34,654.37","£ 34,444.96","£ 42,638.22","£ 29,506.16","£ 39,023.07","£ 36,606.89","£ 36,344.09","£ 29,950.24"
5001,Food - Food with out VAT,"£ 675,930.74","£ 722,558.10","£ 678,132.35","£ 646,630.03","£ 666,697.77","£ 684,202.69","£ 639,033.26","£ 695,783.68","£ 735,322.27","£ 696,273.54","£ 1,027,763.66","£ 718,215.28","£ 982,787.55","£ 735,409.65","£ 1,151,052.69","£ 826,246.73","£ 874,698.99","£ 629,028.38","£ 906,610.12","£ 741,116.81","£ 1,004,268.46","£ 720,201.00","£ 953,611.91","£ 662,359.23","£ 997,769.57","£ 675,930.74"
5002,Food - Food Non VAT,"£ 83,575.15","£ 102,487.11","£ 84,544.86","£ 94,525.82","£ 82,365.86","£ 98,667.32","£ 77,907.72","£ 97,708.85","£ 89,960.16","£ 87,453.90","£ 120,021.92","£ 88,690.70","£ 121,331.80","£ 92,077.95","£ 143,097.52","£ 102,481.18","£ 100,946.56","£ 69,793.19","£ 108,310.04","£ 91,974.08","£ 120,729.09","£ 85,232.29","£ 117,095.14","£ 84,039.56","£ 118,629.89","£ 83,575.15"
5004,Commisary Rebate Scheme,"£ -10,854.65","£ -17,991.98","£ -12,524.03","£ -20,004.40","£ -17,975.93","£ -13,995.88","£ -14,221.66","£ -12,217.93","£ 2,712,470.22","£ -12,952.56","£ -23,257.58","£ -15,686.05","£ -20,506.68","£ -13,490.97","£ -17,441.05","£ 3,698,174.48","£ -31,897.68","£ -16,025.49","£ -18,040.88","£ -7,465.27","£ -15,519.83","£ -12,711.06","£ -24,242.15","£ -15,832.10","£ -17,727.96","£ -10,854.65"
5005,Food - Interstore food Purchases,£ -461.81,£ 167.48,£ 256.71,"£ -1,044.75",£ 58.78,"£ -1,066.90",£ 975.46,£ -31.96,"£ 2,040.84",£ -631.95,£ -21.98,£ -248.61,£ -62.12,£ 482.05,£ 0.00,"£ 65,564.32",£ 0.00,"£ 4,133.77",£ 0.00,£ -609.88,£ 0.00,£ -720.16,£ 44.14,"£ -1,159.19",£ 0.00,£ -461.81
5006,C3 National Deal - Food Cost Support,£ -99.63,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ -23,757.47",£ -752.28,£ 0.00,"£ -8,098.24","£ 1,443.00",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ -5,751.74","£ -27,792.66",£ 0.00,£ 0.00,"£ -7,962.15",£ 0.00,£ -99.63
5007,Recharge Service Charge (VAT),"£ 1,616.20",£ 0.00,"£ 1,675.21",£ 0.00,"£ 6,859.12",£ 420.75,"£ 9,760.87",£ 0.00,"£ 15,614.79",£ 65.00,"£ 2,958.16","£ 7,033.87","£ 2,273.59","£ 3,156.34","£ 8,010.79","£ 6,142.28",£ 0.00,"£ 5,292.26","£ 5,430.18","£ 1,426.81","£ 9,953.00","£ 6,669.01","£ 3,518.61","£ 1,764.59","£ 1,532.30","£ 1,616.20"
5050,Monthly Stock Movement,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 11,063.04",£ 0.00,"£ -49,577.89",£ 0.00,"£ 50,813.00",£ 0.00,£ 708.50,£ 0.00,"£ 35,778.82",£ 0.00,"£ -21,835.42",£ 0.00,"£ -16,813.08",£ 0.00
5100,Food - Delivery (Dominos),"£ 37,350.39","£ 35,347.11","£ 36,804.77","£ 35,907.86","£ 38,502.56","£ 34,917.05","£ 38,581.88","£ 36,837.15","£ 47,393.92","£ 35,613.45","£ 53,678.08","£ 35,004.10","£ 51,613.04","£ 35,014.10","£ 52,311.99","£ 130,265.25","£ 54,723.11","£ 37,462.44","£ 49,375.04","£ 36,340.92","£ 53,748.01","£ 37,350.39","£ 53,240.46","£ 36,673.47","£ 55,765.80","£ 37,350.39"
5109,UBER EATS DELIVERY,"£ 2,867.82",£ 0.00,"£ 2,018.92",£ 0.00,"£ 2,379.86",£ 0.00,"£ 1,686.63",£ 0.00,"£ 2,244.07",£ 0.00,"£ 3,093.19",£ 0.00,"£ 4,856.49",£ 0.00,"£ 6,498.27",£ 0.00,"£ 10,700.68",£ 0.00,"£ 5,761.15",£ 0.00,"£ 6,377.97",£ 0.00,"£ 7,128.26",£ 18.14,"£ 8,341.57","£ 2,867.82"
